COD CLIENTE,COD UNID,COD SERVICIO,Compañía,Cliente,Unidad,Servicio,F. Inicio,Fecha Fin,Personal_Requerido,Personal_Estimado,Personal_Real,Déficit_Superávit,% Cobertura,Estado,Registros_Totales,Registros_Duplicados,Origen_Registro,Lider Zonal,Zona,MacroZona
,,,J&V Resguardo S.A.C.,(en blanco),Oficina Trujillo,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,3,,inf,Sin_Datos,3,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,LOGISTICA DE INSUMOS Y MATERIALES SOCIEDAD ANONIMA CERRADA - LINS,Serv. Adic. Manuchar Gambetta,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,SAN FERNANDO S.A.,San Fernando Agri 07 Supe,GUARDIAN 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,TS - LOGISTIC S.A.C.,TS Logistic Sede Comas,AGENTE SEGURIDAD 09 HRS L/D NOCHE,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,IMPALA TERMINALS PERU S.A.C.,Impala Local Miller,INSPECTOR DE PATRIMONIO 12 HRS L/S DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,PULPO - CHICLAYO,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,TRUPAL S.A.,Local Huachipa 13,AGENTE CONTROL BALANZA 24 HRS L/D,,,0,0.0,3,,inf,Sin_Datos,3,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,FARGOLINE SOCIEDAD ANONIMA - FARGOLINE S.A.,Controlador importaciones cheker,INSPECTOR DE PATRIMONIO 12 HRS L/D DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),La Positiva Sede Arequipa San Francisco,AGENTE SEGURIDAD 12 HRS L/S DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,BANCO DE CREDITO DEL PERU,BCP Operador Miraflores 2do Grupo,ANALISTA DE INVESTIGACIÓN DE FRAUDE 08 HRS L/V (DIA),,,0,0.0,4,,inf,Sin_Datos,4,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,TS - LOGISTIC S.A.C.,TS Logistic Sede Comas,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,3,,inf,Sin_Datos,3,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,PERUFARMA S A,Perufarma Sede Schick,INSPECTOR DE PATRIMONIO 12 HRS L/S DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,CERAMICA SAN LORENZO SAC,Ceramica San Lorenzo Planta 1,JEFE DE GRUPO 12 HRS L/D DÍA,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,INMOBILIARIA LUBERNA S.A.C.,Terreno Samanco,GUARDIAN 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,LOS PORTALES S.A.,Los Portales Paseo La Rinconada Piura,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,Región Trujillo - Pulpo Disponibles 8 y 12Hrs,GUARDIAN 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,UNIVERSIDAD PRIVADA DEL NORTE SAC,UPN Sede Ate,JEFE DE GRUPO 12 HRS L/S DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Idiomas Chacarilla,JEFE DE GRUPO 12 HRS L/D DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,AGROINDUSTRIAL DEL PERU SOCIEDAD ANONIMA CERRADA,Planta Cañete,GUARDIAN 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Parque Fábrica Casa Grande Ascope Trujillo,SUPERVISOR SEGURIDAD 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,FARGOLINE SOCIEDAD ANONIMA - FARGOLINE S.A.,Fargoline Local Las Brisas,INSPECTOR DE PATRIMONIO 12 HRS L/S DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Parque Fábrica Casa Grande Ascope Trujillo,AGENTE SEGURIDAD 12 HRS L/S DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo Selva SAC,J & V RESGUARDO S.A.C.,Región Iquitos - Pulpo Vacaciones,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Residencia Romero 14 (TAREO),AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,G.W. YICHANG & CIA S.A.,Serv. Adic. G W Yichang CD Chiclayo,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,3,,inf,Sin_Datos,3,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,COMPAÑIA MINERA SANTA LUISA S.A.,Minera Santa Luisa Pallca,AGENTE CONDUCTOR 12 HRS L/D NOCHE,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),La Positiva Sede San Isidro,AGENTE SEGURIDAD 12 HRS L/S DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),La Positiva Sede Los Mirtos Lince,AGENTE SEGURIDAD 12 HRS L/V (DÍA),,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,BRAEDT S.A. Ó BRSA,Braedt Planta Ate Principal,INSPECTOR DE PATRIMONIO 12 HRS L/S DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Parque Fábrica Casa Grande Ascope Trujillo,OPERADOR CENTRO CONTROL 24 HRS L/D,,,0,0.0,5,,inf,Sin_Datos,5,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,Real Plaza Piura,AGENTE SEGURIDAD ESPECIAL 12 HRS L/D (DÍA),,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,BANCO INTERNACIONAL DEL PERU-INTERBANK,Interbank Sede Casa Olaechea San Isidro,AGENTE SEGURIDAD ESPECIAL 12 HRS L/S (DÍA),,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,BANCO INTERNACIONAL DEL PERU-INTERBANK,Interbank Sede Torre La Victoria,AGENTE SEGURIDAD ESPECIAL 12 HRS L/S (DÍA),,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,"Zona S6 - Pulpo Faltos, PNP, Lic Sin Goce",AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,3,,inf,Sin_Datos,3,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,Zona S1 - Pulpo Serv. Pend. Fact.,SUPERVISOR SEGURIDAD 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,UNIVERSIDAD PRIVADA DEL NORTE SAC,UPN Sede Ate,AGENTE SEGURIDAD 12 HRS L/D NOCHE,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,Zona RT1 - Pulpo Inducción,AGENTE SEGURIDAD 08 HRS L/D DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,RACIONALIZACION EMPRESARIAL SA,Planta Huachipa,INSPECTOR DE PATRIMONIO 12 HRS L/D DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,MINSUR S. A.,UM San Rafael,JEFE DE GRUPO 12 HRS L/D DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,"Región Tumbes - Pulpo Faltos, PNP, Lic. Sin Goce",AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,4,,inf,Sin_Datos,4,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,CORPORACION PERUANA DE PRODUCTOS QUIMICOS S.A. - CPPQ S.A.,CPPQ Planta Ñaña,INSPECTOR DE PATRIMONIO 24 HRS L/S,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Pana Autos San Miguel Operador CCTV,OPERADOR CENTRO CONTROL 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,SOCIEDAD DE DESARROLLO DE HOTELES PERUANOS S.A.,Hotel Ibis Larco Miraflores,JEFE DE GRUPO 12 HRS L/D DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SOCIEDAD ANONIMA,Almacén Ate (EXLDP),JEFE DE GRUPO 12 HRS L/D (NOCHE),,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),AUNA Operaciones,OPERADOR CENTRO DE CONTROL 12 HRS L/D DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Residencia La Molina,AGENTE SEGURIDAD ESPECIAL 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,Centro de Control - Pulpo Vacaciones,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,ORAZUL ENERGY PERU S.A.,Orazul Ex Central Térmica Chiclayo,GUARDIAN 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,Zona C6 - Pulpo Inducción,AGENTE SEGURIDAD 08 HRS L/D DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",Southern Perú Toquepala Garita Begonias y Aeropuerto,AGENTE SEGURIDAD 24 HRS L/D (ARMADO) - 2DA,,,0,0.0,3,,inf,Sin_Datos,3,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Lurín Planta Detergente,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,5,,inf,Sin_Datos,5,0,Solo_Asignado,,,
,,,J&V Resguardo Selva SAC,J & V RESGUARDO S.A.C.,"Región Iquitos - Pulpo Faltos, PNP, Lic. Sin Goce",AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,IMPALA TERMINALS PERU S.A.C.,Serv. Adic. Impala Almacén Pelayo,INSPECTOR DE PATRIMONIO 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,JUNTA DE PROPIETARIOS CENTRO CAMINO REAL,Serv. Adic. Centro Comercial Camino Real,PREVENCIONISTA 12 HRS L/S DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,LECHE GLORIA SOCIEDAD ANONIMA - GLORIA S.A.,Edificio Principal Resguardos,CONDUCTOR SEGURIDAD 12 HRS L/S NIVEL 1 (DÍA),,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,"ZONA REPSOL MANDOS MEDIOS - Pulpo Faltos, Lic.Sin Goce, Baja",AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),La Positiva Sede Huancayo,AGENTE SEGURIDAD 11 HRS L/V (DÍA),,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,MINSUR S. A.,UM San Rafael,GUARDIAN 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,ALICORP SAA,Alicorp Oficina Miraflores,AGENTE SEGURIDAD 08 HRS DÍA MAR - MIE - JUE,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,BANCO INTERNACIONAL DEL PERU-INTERBANK,Serv. Adic. Interbank Tienda Canaval y Moreyra,AGENTE SEGURIDAD 08 HRS L/D TARDE,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Planta La Concordia Trujillo,OPERADOR CENTRO CONTROL 24 HRS L/D,,,0,0.0,5,,inf,Sin_Datos,5,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,Región Piura - Pulpo Disponibles 8 y 12Hrs,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Cto. Cultural y Estacionamiento Esquilache,JEFE DE GRUPO 12 HRS L/D DÍA,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,COMPAÑIA MINERA ANTAMINA S.A.,Región Huaraz - Pulpo Inducción - Antamina,AGENTE SEGURIDAD 08 HRS L/D DÍA,,,0,0.0,3,,inf,Sin_Datos,3,0,Solo_Asignado,,,
,,,J&V Resguardo Selva SAC,J & V RESGUARDO S.A.C.,Región Iquitos - Pulpo Disponibles 8 y 12Hrs,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,14,,inf,Sin_Datos,14,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,"Centro de Control - Pulpo PNP, Licencia Sin Goce",AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,7,,inf,Sin_Datos,7,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Residencia Romero 9,AGENTE SEGURIDAD 12 HRS L/D DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,Residencias y Guardianías - Pulpo Disponibles 8 y 12Hrs,GUARDIAN 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,CONAFOVICER,Serv. Adic. Conafovicer Sede Callao,AGENTE SEGURIDAD 12 HRS L/S DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,PLUZ ENERGÍA PERÚ S.A.A.,Enel Distrib. Unidades Móviles Huacho,AGENTE CONDUCTOR 12 HRS L/D NOCHE,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,STATKRAFT PERU S.A.,Statkraft Viconga,GUARDIAN 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,ALICORP SAA,Alicorp Operativos Molino Callao,CONDUCTOR SEGURIDAD 12 HRS L/D NOCHE,,,0,0.0,5,,inf,Sin_Datos,5,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,FERTILIZANTES DEL SUR SOCIEDAD ANONIMA CERRADA - FERTISUR S.A.C.,Serv. Adic. Fertisur Ventanilla,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,"Zona C9 - Pulpo Faltos, PNP, Lic Sin Goce",AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,4,,inf,Sin_Datos,4,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),La Positiva Sede Chiclayo,AGENTE SEGURIDAD 11 HRS L/V (DÍA),,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,SOLGAS S.A.,Serv. Adic. Solgas Ventanilla,AGENTE SEGURIDAD 12 HRS L/D TARDE,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",Southern Perú Toquepala Garita Begonias y Aeropuerto,AGENTE SEGURIDAD 24 HRS L/D - 2DA V,,,0,0.0,3,,inf,Sin_Datos,3,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,Región Arequipa - Pulpo Disponibles 8 y 12Hrs,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,UNIVERSIDAD PRIVADA DEL NORTE SAC,UPN Sede El Molino Trujillo,AGENTE SEGURIDAD ESPECIAL 12 HRS L/S (DÍA),,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,PULPO - TACNA,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,CORPORACION PERUANA DE PRODUCTOS QUIMICOS S.A. - CPPQ S.A.,CPPQ Planta El Agustino,INSPECTOR DE PATRIMONIO 24 HRS L/S,,,0,0.0,6,,inf,Sin_Datos,6,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,TRANSPORTES 77 S.A.,Serv. Adic. Base T77 Lima,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,4,,inf,Sin_Datos,4,0,Solo_Asignado,,,
,,,Liderman Servicios S.A.C.,LIMA AIRPORT PARTNERS S.R.L.,LAP - Nuevo Aeropuerto,OPERARIO ESTIBADOR ESCANER 2 09 HRS L/D DÍA,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo Selva SAC,(en blanco),Shanusi Pampa Hermosa,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,12,,inf,Sin_Datos,12,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,JV - Garita Chorrillos,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,Real Plaza Cusco,AGENTE SEGURIDAD ESPECIAL 12 HRS L/D (DÍA),,,0,0.0,4,,inf,Sin_Datos,4,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,AGROINDUSTRIAL DEL PERU SOCIEDAD ANONIMA CERRADA,Centro de Acopio Puente Virú Trujillo,GUARDIAN 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),La Positiva Sede Trujillo,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,PERUANA DE MOLDEADOS S.A.C.,Pamolsa Estacionamiento,AGENTE SEGURIDAD ESPECIAL 12 HRS L/S (DÍA),,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,Liderman Servicios S.A.C.,LIDERMAN SERVICIOS S.A.C.,Zona Parking y Delivery - Pulpo Disponibles 08 y 12 Hrs,AGENTE SEGURIDAD 08 HRS L/D TARDE,,,0,0.0,3,,inf,Sin_Datos,3,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,AEROPUERTOS DEL PERU S.A.,"ADP Vittore Carpaccio 250, Piso 3 - San Borja",AGENTE RECEPCIONISTA 12 HRS L/D (DÍA),,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,PLUZ ENERGÍA PERÚ S.A.A.,Enel Distrib. Guardianía Repetidora Cerro Grande,GUARDIAN 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,Plaza Center Rex SMP,JEFE DE GRUPO 12 HRS L/D DÍA,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,LECHE GLORIA SOCIEDAD ANONIMA - GLORIA S.A.,Planta Huachipa,INSPECTOR DE PATRIMONIO 12 HRS L/S DÍA,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,PLUZ ENERGÍA PERÚ S.A.A.,Enel Distrib. Guardianía Ex Centro de Servicios,GUARDIAN 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,Centro de Control - Pulpo Faltos (Casos para Baja),AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,20,,inf,Sin_Datos,20,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,TRUPAL S.A.,Local Huachipa 8,INSPECTOR DE PATRIMONIO 24 HRS L/D,,,0,0.0,11,,inf,Sin_Datos,11,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,INSTITUTO PERUANO DE ACCION EMPRESARIAL,IPAE Sede Puente Piedra,GUARDIAN 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,JV - Estacionamiento Chorrillos,AGENTE SEGURIDAD 12 HRS L/S DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
