Cliente_Key,COD UNID,COD SERVICIO,Personal_Real,Cliente_Nombre,Cliente_Key_right,Unidad,Servicio,Personal_Estimado,Cliente_Nombre_right,Cliente,Estado
,,,0,,23444,22082, 95,2.3333333333333335,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SO,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SO,SIN_DATOS
,,,0,,64432,4450,093,2.0,CORPORACION PERUANA DE PRODUCTOS QUIMICOS S.A. - C,CORPORACION PERUANA DE PRODUCTOS QUIMICOS S.A. - C,SIN_DATOS
60776,25730,P08,1,HERMES TRANSPORTES BLINDADOS  S A,60776,25730,P08,1.1666666666666667,HERMES TRANSPORTES BLINDADOS  S A,HERMES TRANSPORTES BLINDADOS  S A,FALTA
,,,0,,154886,22159, 53,1.0,INDUSTRIAS DEL ENVASE S A,INDUSTRIAS DEL ENVASE S A,SIN_DATOS
,,,0,,113647,25485, 48,1.0,VEND S.A.C.,VEND S.A.C.,SIN_DATOS
,,,0,,97718,7877, 53,1.0,FERNANDINI BARREDA RICARDO FEDERICO,FERNANDINI BARREDA RICARDO FEDERICO,SIN_DATOS
,,,0,,70588,13426, 95,4.666666666666667,REAL PLAZA S.R.L.,REAL PLAZA S.R.L.,SIN_DATOS
,,,0,,22949,17484, 95,7.0,MOLITALIA S.A,MOLITALIA S.A,SIN_DATOS
,,,0,,107109,9298, 95,2.3333333333333335,ETERNO RETORNO S.A.C.,ETERNO RETORNO S.A.C.,SIN_DATOS
,,,0,,150569,21310, 95,2.3333333333333335,EMBAJ. DE ITALIA INST. ITALIANO DE CULTU,EMBAJ. DE ITALIA INST. ITALIANO DE CULTU,SIN_DATOS
7409,3419,165,2,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,7409,3419,165,2.3333333333333335,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,FALTA
,,,0,,22801,23039, 95,3.0,CORPORACION ACEROS AREQUIPA S.A.,CORPORACION ACEROS AREQUIPA S.A.,SIN_DATOS
,,,0,,148588,21038, 95,4.666666666666667,MASTERBREAD S.A.,MASTERBREAD S.A.,SIN_DATOS
,,,0,,23085,3432, 42,2.3333333333333335,YURA S.A.,YURA S.A.,SIN_DATOS
,,,0,,63394,15290,787,1.1666666666666667,ADIDAS PERU S.A.C,ADIDAS PERU S.A.C,SIN_DATOS
,,,0,,133200,19556, 95,2.3333333333333335,LINDE PERU S.R.L.,LINDE PERU S.R.L.,SIN_DATOS
,,,0,,148080,20946, 27,2.0,EPC PERU S.A.C.,EPC PERU S.A.C.,SIN_DATOS
124172,20106,904,1,PROMOTORA GENESIS S.A.C.,124172,20106,904,1.0,PROMOTORA GENESIS S.A.C.,PROMOTORA GENESIS S.A.C.,EXACTO
,,,0,,70314,26565, 95,14.0,VIVA NEGOCIO INMOBILIARIO S.A.C.,VIVA NEGOCIO INMOBILIARIO S.A.C.,SIN_DATOS
,,,0,,133892,26411, 42,1.1666666666666667,D.C.R. MINERIA Y CONSTRUCCION S.A.C.,D.C.R. MINERIA Y CONSTRUCCION S.A.C.,SIN_DATOS
,,,0,,22888,20479, 42,1.1666666666666667,IMPORTACIONES HIRAOKA S.A.C.,IMPORTACIONES HIRAOKA S.A.C.,SIN_DATOS
,,,0,,24535,26147, 95,2.3333333333333335,CATALINA HUANCA SOCIEDAD MINERA S.A.C.,CATALINA HUANCA SOCIEDAD MINERA S.A.C.,SIN_DATOS
,,,0,,68590,20140,I30,1.1666666666666667,REFINERIA LA PAMPILLA S.A.A,REFINERIA LA PAMPILLA S.A.A,SIN_DATOS
,,,0,,70588,13229, 95,7.0,REAL PLAZA S.R.L.,REAL PLAZA S.R.L.,SIN_DATOS
156823,22603,C44,1,CALIZA CEMENTO INCA S.A.,156823,22603,C44,1.0,CALIZA CEMENTO INCA S.A.,CALIZA CEMENTO INCA S.A.,EXACTO
,,,0,,111643,18388, 95,2.3333333333333335,INVERSIONES NUEVA METROPOLI S.A.C.,INVERSIONES NUEVA METROPOLI S.A.C.,SIN_DATOS
22888,379,272,1,IMPORTACIONES HIRAOKA S.A.C.,22888,379,272,1.1666666666666667,IMPORTACIONES HIRAOKA S.A.C.,IMPORTACIONES HIRAOKA S.A.C.,FALTA
7783,25563,459,1,MEDLOG PERU S.A.,7783,25563,459,1.1666666666666667,MEDLOG PERU S.A.,MEDLOG PERU S.A.,FALTA
,,,0,,57917,19229, 95,28.0,PETROLEOS DEL PERU PETROPERU SA,PETROLEOS DEL PERU PETROPERU SA,SIN_DATOS
,,,0,,70588,13231, 41,4.666666666666667,REAL PLAZA S.R.L.,REAL PLAZA S.R.L.,SIN_DATOS
,,,0,,75608,2659, 96,9.0,TECNOLOGICA DE ALIMENTOS S.A.,TECNOLOGICA DE ALIMENTOS S.A.,SIN_DATOS
,,,0,,56913,19699, 95,2.3333333333333335,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SO,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SO,SIN_DATOS
,,,0,,117138,21429,725,2.0,UNIVERSIDAD DE INGENIERIA Y TECNOLOGIA,UNIVERSIDAD DE INGENIERIA Y TECNOLOGIA,SIN_DATOS
70588,13578,376,1,REAL PLAZA S.R.L.,70588,13578,376,3.5,REAL PLAZA S.R.L.,REAL PLAZA S.R.L.,FALTA
,,,0,,98914,7699, 95,2.3333333333333335,NEW COMPANY DEL PERU S.A.,NEW COMPANY DEL PERU S.A.,SIN_DATOS
,,,0,,126600,25983, 95,2.3333333333333335,MINERA COLQUISIRI S.A.,MINERA COLQUISIRI S.A.,SIN_DATOS
,,,0,,54550,8256, 41,1.1666666666666667,HIPERMERCADOS TOTTUS S.A.,HIPERMERCADOS TOTTUS S.A.,SIN_DATOS
143212,21861,K22,7,COMPAÑIA MINERA SANTA LUISA S.A.,143212,21861,K22,7.0,COMPAÑIA MINERA SANTA LUISA S.A.,COMPAÑIA MINERA SANTA LUISA S.A.,EXACTO
,,,0,,85170,19688, 95,2.3333333333333335,CERVECERIA SAN JUAN S.A.,CERVECERIA SAN JUAN S.A.,SIN_DATOS
,,,0,,63394,23172, 30,3.5,ADIDAS PERU S.A.C,ADIDAS PERU S.A.C,SIN_DATOS
,,,0,,99927,15421, 95,2.3333333333333335,PACIFICO COMPAÑIA DE SEGUROS Y REASEGUROS,PACIFICO COMPAÑIA DE SEGUROS Y REASEGUROS,SIN_DATOS
,,,0,,85170,19695, 42,2.3333333333333335,CERVECERIA SAN JUAN S.A.,CERVECERIA SAN JUAN S.A.,SIN_DATOS
7592,4992,F85,2,COMPAÑIA MINERA ANTAMINA S.A.,7592,4992,F85,3.5,COMPAÑIA MINERA ANTAMINA S.A.,COMPAÑIA MINERA ANTAMINA S.A.,FALTA
,,,0,,175095,26278, 95,4.666666666666667,ZAMINE SERVICE PERU SAC,ZAMINE SERVICE PERU SAC,SIN_DATOS
22739,1193,156,1,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRADA,22739,1193,156,1.0,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRA,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRADA,EXACTO
187538,25091,372,1,EMERGENT COLD LOGISTICS S.R.L.,187538,25091,372,1.0,EMERGENT COLD LOGISTICS S.R.L.,EMERGENT COLD LOGISTICS S.R.L.,EXACTO
,,,0,,7592,26644, 16,2.3333333333333335,COMPAÑIA MINERA ANTAMINA S.A.,COMPAÑIA MINERA ANTAMINA S.A.,SIN_DATOS
,,,0,,111643,18396, 53,3.0,INVERSIONES NUEVA METROPOLI S.A.C.,INVERSIONES NUEVA METROPOLI S.A.C.,SIN_DATOS
,,,0,,90476,7291, 41,1.1666666666666667,"PAT. EN FID., D.LEG- N° 861, NO INS. EN LA SMV, DI","PAT. EN FID., D.LEG- N° 861, NO INS. EN LA SMV, DI",SIN_DATOS
,,,0,,147836,20920, 42,2.3333333333333335,COCORICO S A,COCORICO S A,SIN_DATOS
,,,0,,111212,21772, 23,3.5,H & M HENNES & MAURITZ S.A.C.,H & M HENNES & MAURITZ S.A.C.,SIN_DATOS
,,,0,,90912,26344,080,2.0,RED DE ENERGIA DEL PERU SA,RED DE ENERGIA DEL PERU SA,SIN_DATOS
,,,0,,24467,4319, 95,4.666666666666667,SERVICIOS BANCARIOS COMPARTIDOS S A,SERVICIOS BANCARIOS COMPARTIDOS S A,SIN_DATOS
24467,4319,113,3,SERVICIOS BANCARIOS COMPARTIDOS S A,24467,4319,113,2.3333333333333335,SERVICIOS BANCARIOS COMPARTIDOS S A,SERVICIOS BANCARIOS COMPARTIDOS S A,SOBRECARGA
,,,0,,8330,23840, 41,1.1666666666666667,SAN FERNANDO S.A.,SAN FERNANDO S.A.,SIN_DATOS
,,,0,,59221,1724, 95,2.3333333333333335,LUCKY S.A.C.,LUCKY S.A.C.,SIN_DATOS
,,,0,,85536,26433, 41,1.1666666666666667,ASOCIACION PERUANO JAPONESA,ASOCIACION PERUANO JAPONESA,SIN_DATOS
,,,0,,7006,20057, 95,2.3333333333333335,REPSOL COMERCIAL SAC,REPSOL COMERCIAL SAC,SIN_DATOS
117232,11009,374,12,COMPAÑIA MINERA ANTAPACCAY S.A.,117232,11009,374,6.0,COMPAÑIA MINERA ANTAPACCAY S.A.,COMPAÑIA MINERA ANTAPACCAY S.A.,SOBRECARGA
83695,3458,O59,1,JX NIPPON MINING & METALS EXPLORATION PERU S.A.C.- JX PERU S.A.C.,83695,3458,O59,1.0,JX NIPPON MINING & METALS EXPLORATION PERU S.A.C.-,JX NIPPON MINING & METALS EXPLORATION PERU S.A.C.- JX PERU S.A.C.,EXACTO
77526,4660,389,1,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,77526,4660,389,1.0,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,EXACTO
,,,0,,105587,8953, 95,49.0,UNIVERSIDAD DE LIMA,UNIVERSIDAD DE LIMA,SIN_DATOS
,,,0,,22801,26207, 42,1.1666666666666667,CORPORACION ACEROS AREQUIPA S.A.,CORPORACION ACEROS AREQUIPA S.A.,SIN_DATOS
54550,22988,F35,1,HIPERMERCADOS TOTTUS S.A.,54550,22988,F35,1.1666666666666667,HIPERMERCADOS TOTTUS S.A.,HIPERMERCADOS TOTTUS S.A.,FALTA
82747,21069,896,2,FERREYROS SOCIEDAD ANÓNIMA,82747,21069,896,1.0,FERREYROS SOCIEDAD ANÓNIMA,FERREYROS SOCIEDAD ANÓNIMA,SOBRECARGA
,,,0,,85661,7581, 95,2.3333333333333335,SOLTRAK S.A.,SOLTRAK S.A.,SIN_DATOS
24097,141,K21,1,PERUFARMA S A,24097,141,K21,1.0,PERUFARMA S A,PERUFARMA S A,EXACTO
59493,9525,M25,1,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,59493,9525,M25,1.0,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,EXACTO
,,,0,,8330,23835,080,1.5,SAN FERNANDO S.A.,SAN FERNANDO S.A.,SIN_DATOS
,,,0,,9463,26648,519,1.1666666666666667,BANCO INTERNACIONAL DEL PERU-INTERBANK,BANCO INTERNACIONAL DEL PERU-INTERBANK,SIN_DATOS
,,,0,,111548,13398, 95,2.3333333333333335,CENTENARIO DESARROLLO URBANO S.A.C,CENTENARIO DESARROLLO URBANO S.A.C,SIN_DATOS
113623,10313,398,2,COMPANIA MINERA ARES S.A.C.,113623,10313,398,3.0,COMPANIA MINERA ARES S.A.C.,COMPANIA MINERA ARES S.A.C.,FALTA
,,,0,,79127,3123, 95,2.3333333333333335,COMPAÑIA MINERA COIMOLACHE S.A.,COMPAÑIA MINERA COIMOLACHE S.A.,SIN_DATOS
,,,0,,185827,25561, 95,4.666666666666667,ECOPACKING CLAMSHELLS S.A.,ECOPACKING CLAMSHELLS S.A.,SIN_DATOS
,,,0,,176426,24670, 42,1.1666666666666667,INVERSIONES MARITIMAS UNIVERSALES DEPOSITOS S.A.,INVERSIONES MARITIMAS UNIVERSALES DEPOSITOS S.A.,SIN_DATOS
,,,0,,136751,21829, 95,2.3333333333333335,ROCHEM BIOCARE DEL PERU S.A.C,ROCHEM BIOCARE DEL PERU S.A.C,SIN_DATOS
,,,0,,71436,14365, 42,3.5,ALICORP SAA,ALICORP SAA,SIN_DATOS
,,,0,,97938,17905, 95,2.3333333333333335,INSTITUTO DE EDUCACION SUPERIOR PRIVADO CIBERTEC S,INSTITUTO DE EDUCACION SUPERIOR PRIVADO CIBERTEC S,SIN_DATOS
,,,0,,133200,18915, 95,2.3333333333333335,LINDE PERU S.R.L.,LINDE PERU S.R.L.,SIN_DATOS
134103,15640,L61,11,MINERA BOROO MISQUICHILCA S.A.,134103,15640,L61,12.0,MINERA BOROO MISQUICHILCA S.A.,MINERA BOROO MISQUICHILCA S.A.,FALTA
124172,13014,568,1,PROMOTORA GENESIS S.A.C.,124172,13014,568,1.0,PROMOTORA GENESIS S.A.C.,PROMOTORA GENESIS S.A.C.,EXACTO
,,,0,,100627,12103, 16,3.5,AUDIOMUSICA PERU S.A.C.,AUDIOMUSICA PERU S.A.C.,SIN_DATOS
7006,16469,390,1,REPSOL COMERCIAL SAC,7006,16469,390,0.6666666666666666,REPSOL COMERCIAL SAC,REPSOL COMERCIAL SAC,SOBRECARGA
,,,0,,104702,9246, 41,2.3333333333333335,SERVICIOS LOGISTICOS AUTOMOTRICES S.A.,SERVICIOS LOGISTICOS AUTOMOTRICES S.A.,SIN_DATOS
,,,0,,82747,3207, 41,1.1666666666666667,FERREYROS SOCIEDAD ANÓNIMA,FERREYROS SOCIEDAD ANÓNIMA,SIN_DATOS
,,,0,,22994,9145, 95,2.3333333333333335,ANDERS PERU S.A.C.,ANDERS PERU S.A.C.,SIN_DATOS
,,,0,,22739,25659, 48,2.0,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRA,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRA,SIN_DATOS
64608,26436,106,2,DIVECENTER S.A.C.,64608,26436,106,2.3333333333333335,DIVECENTER S.A.C.,DIVECENTER S.A.C.,FALTA
,,,0,,85536,23977, 18,1.0,ASOCIACION PERUANO JAPONESA,ASOCIACION PERUANO JAPONESA,SIN_DATOS
,,,0,,64990,21316, 26,1.0,FINANCIERA QAPAQ S.A.,FINANCIERA QAPAQ S.A.,SIN_DATOS
,,,0,,111643,18382, 95,2.3333333333333335,INVERSIONES NUEVA METROPOLI S.A.C.,INVERSIONES NUEVA METROPOLI S.A.C.,SIN_DATOS
144638,19987,E17,1,MINERA BARRICK PERU S.A.,144638,19987,E17,1.5,MINERA BARRICK PERU S.A.,MINERA BARRICK PERU S.A.,FALTA
,,,0,,22739,2570, 95,2.3333333333333335,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRA,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRA,SIN_DATOS
,,,0,,160316,22956, 41,1.1666666666666667,TENTACIONES GOURMET S.A.C.,TENTACIONES GOURMET S.A.C.,SIN_DATOS
167730,23808,B63,1,VALDERRAMA CORDIVIOLA DE BERNARD LOTTIE,167730,23808,B63,1.0,VALDERRAMA CORDIVIOLA DE BERNARD LOTTIE,VALDERRAMA CORDIVIOLA DE BERNARD LOTTIE,EXACTO
,,,0,,120215,15095, 42,1.5,KALLPA GENERACION S.A.,KALLPA GENERACION S.A.,SIN_DATOS
,,,0,,70588,2244, 41,1.1666666666666667,REAL PLAZA S.R.L.,REAL PLAZA S.R.L.,SIN_DATOS
,,,0,,125009,14127, 95,4.666666666666667,COUNTRY CLUB DE VILLA,COUNTRY CLUB DE VILLA,SIN_DATOS
,,,0,,7242,22735, 53,1.0,TRANSPORTES CRUZ DEL SUR S.A.C.,TRANSPORTES CRUZ DEL SUR S.A.C.,SIN_DATOS
,,,0,,71436,9696, 95,4.666666666666667,ALICORP SAA,ALICORP SAA,SIN_DATOS
,,,0,,98665,7876,080,1.5,METSO PERU S.A.,METSO PERU S.A.,SIN_DATOS
,,,0,,23418,7803, 95,4.666666666666667,IMPALA TERMINALS PERU S.A.C.,IMPALA TERMINALS PERU S.A.C.,SIN_DATOS
,,,0,,163392,24874, 42,1.1666666666666667,CONSORCIO INTI PUNKU,CONSORCIO INTI PUNKU,SIN_DATOS
,,,0,,9416,5185, 48,1.0,URBANIZADORA JARDIN S A,URBANIZADORA JARDIN S A,SIN_DATOS
,,,0,,24549,23274, 95,53.66666666666667,LIMA AIRPORT PARTNERS S.R.L.,LIMA AIRPORT PARTNERS S.R.L.,SIN_DATOS
,,,0,,22888,377, 95,2.3333333333333335,IMPORTACIONES HIRAOKA S.A.C.,IMPORTACIONES HIRAOKA S.A.C.,SIN_DATOS
,,,0,,7592,4993, 16,13.5,COMPAÑIA MINERA ANTAMINA S.A.,COMPAÑIA MINERA ANTAMINA S.A.,SIN_DATOS
,,,0,,111548,13823, 95,2.3333333333333335,CENTENARIO DESARROLLO URBANO S.A.C,CENTENARIO DESARROLLO URBANO S.A.C,SIN_DATOS
,,,0,,125387,13307, 95,2.3333333333333335,CEP ISABEL FLORES DE OLIVA,CEP ISABEL FLORES DE OLIVA,SIN_DATOS
,,,0,,24549,26405, 41,9.333333333333334,LIMA AIRPORT PARTNERS S.R.L.,LIMA AIRPORT PARTNERS S.R.L.,SIN_DATOS
59493,17672,372,1,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,59493,17672,372,1.0,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,EXACTO
157518,22761,K64,2,SERVICIOS E INVERSIONES FENPER S.A.,157518,22761,K64,1.1666666666666667,SERVICIOS E INVERSIONES FENPER S.A.,SERVICIOS E INVERSIONES FENPER S.A.,SOBRECARGA
,,,0,,81865,24625, 69,1.0,SISTEMAS DE ADMINISTRACION HOSPITALARIA S.A.C.,SISTEMAS DE ADMINISTRACION HOSPITALARIA S.A.C.,SIN_DATOS
,,,0,,8601,22839, 96,3.0,SOCIEDAD MINERA EL BROCAL S.A.A.,SOCIEDAD MINERA EL BROCAL S.A.A.,SIN_DATOS
,,,0,,91662,26549, 95,2.3333333333333335,ADMINISTRADORA JOCKEY PLAZA SHOPPING CENTER SA,ADMINISTRADORA JOCKEY PLAZA SHOPPING CENTER SA,SIN_DATOS
,,,0,,89419,20273, 95,2.3333333333333335,PLUZ ENERGÍA PERÚ S.A.A.,PLUZ ENERGÍA PERÚ S.A.A.,SIN_DATOS
,,,0,,230065,26690, 95,2.3333333333333335,PSA MARINE PERU OFFSHORE S.A.,PSA MARINE PERU OFFSHORE S.A.,SIN_DATOS
,,,0,,117232,22912, 16,70.0,COMPAÑIA MINERA ANTAPACCAY S.A.,COMPAÑIA MINERA ANTAPACCAY S.A.,SIN_DATOS
63394,15976,305,2,ADIDAS PERU S.A.C,63394,15976,305,2.3333333333333335,ADIDAS PERU S.A.C,ADIDAS PERU S.A.C,FALTA
112043,10043,M58,2,MALL PLAZA PERÚ S.A.,112043,10043,M58,1.1666666666666667,MALL PLAZA PERÚ S.A.,MALL PLAZA PERÚ S.A.,SOBRECARGA
,,,0,,22776,15131, 95,2.3333333333333335,CAL & CEMENTO SUR S.A.,CAL & CEMENTO SUR S.A.,SIN_DATOS
,,,0,,8795,1001, 95,2.3333333333333335,ELECTRO DUNAS S.A.A.,ELECTRO DUNAS S.A.A.,SIN_DATOS
,,,0,,117232,14869, 16,19.5,COMPAÑIA MINERA ANTAPACCAY S.A.,COMPAÑIA MINERA ANTAPACCAY S.A.,SIN_DATOS
124672,13124,886,1,GRIO S.A.,124672,13124,886,1.1666666666666667,GRIO S.A.,GRIO S.A.,FALTA
75608,2659,573,2,TECNOLOGICA DE ALIMENTOS S.A.,75608,2659,573,1.5,TECNOLOGICA DE ALIMENTOS S.A.,TECNOLOGICA DE ALIMENTOS S.A.,SOBRECARGA
152595,23605,F20,1,MEDIC SER S.A.C.,152595,23605,F20,1.0,MEDIC SER S.A.C.,MEDIC SER S.A.C.,EXACTO
,,,0,,23251,6575, 95,2.3333333333333335,BRAEDT S.A. Ó BRSA,BRAEDT S.A. Ó BRSA,SIN_DATOS
,,,0,,72182,10834, 48,1.0,CORPORACION MG SOCIEDAD ANONIMA CERRADA,CORPORACION MG SOCIEDAD ANONIMA CERRADA,SIN_DATOS
120215,15095,106,3,KALLPA GENERACION S.A.,120215,15095,106,3.0,KALLPA GENERACION S.A.,KALLPA GENERACION S.A.,EXACTO
,,,0,,7196,7345, 95,4.666666666666667,EMPRESA EDITORA EL COMERCIO S.A.,EMPRESA EDITORA EL COMERCIO S.A.,SIN_DATOS
,,,0,,70588,6617, 41,11.666666666666666,REAL PLAZA S.R.L.,REAL PLAZA S.R.L.,SIN_DATOS
62594,8891,N54,1,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",62594,8891,N54,1.0,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PER","SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",EXACTO
,,,0,,23085,1831, 41,1.1666666666666667,YURA S.A.,YURA S.A.,SIN_DATOS
,,,0,,85139,4971, 41,1.1666666666666667,SAN ROQUE S.A.,SAN ROQUE S.A.,SIN_DATOS
56913,19697,870,1,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SOCIEDAD ANÓNIMA,56913,19697,870,1.1666666666666667,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SO,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SOCIEDAD ANÓNIMA,FALTA
153470,21827,476,1,EMBAJADA DE LOS EMIRATOS ARABES UNIDOS,153470,21827,476,1.1666666666666667,EMBAJADA DE LOS EMIRATOS ARABES UNIDOS,EMBAJADA DE LOS EMIRATOS ARABES UNIDOS,FALTA
,,,0,,60031,11831, 41,1.1666666666666667,EQUINOX INTERNATIONAL S.A.C.,EQUINOX INTERNATIONAL S.A.C.,SIN_DATOS
,,,0,,59493,17666, 95,2.3333333333333335,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,SIN_DATOS
,,,0,,128110,23717, 42,1.1666666666666667,TECHINT S.A.C.,TECHINT S.A.C.,SIN_DATOS
22930,23490,F35,1,OPEN PLAZA S.A.,22930,23490,F35,1.1666666666666667,OPEN PLAZA S.A.,OPEN PLAZA S.A.,FALTA
,,,0,,64990,21387, 26,1.0,FINANCIERA QAPAQ S.A.,FINANCIERA QAPAQ S.A.,SIN_DATOS
22888,372,535,1,IMPORTACIONES HIRAOKA S.A.C.,22888,372,535,1.1666666666666667,IMPORTACIONES HIRAOKA S.A.C.,IMPORTACIONES HIRAOKA S.A.C.,FALTA
,,,0,,59493,21618, 18,4.0,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,SIN_DATOS
,,,0,,7139,23451, 48,1.0,BANCO DE CREDITO DEL PERU,BANCO DE CREDITO DEL PERU,SIN_DATOS
,,,0,,143212,19632, 42,1.5,COMPAÑIA MINERA SANTA LUISA S.A.,COMPAÑIA MINERA SANTA LUISA S.A.,SIN_DATOS
68590,20140,Q02,3,REFINERIA LA PAMPILLA S.A.A,68590,20140,Q02,2.3333333333333335,REFINERIA LA PAMPILLA S.A.A,REFINERIA LA PAMPILLA S.A.A,SOBRECARGA
,,,0,,55081,7499, 08,3.0,MAERSK LOGISTICS & SERVICES PERU S.A.,MAERSK LOGISTICS & SERVICES PERU S.A.,SIN_DATOS
,,,0,,8795,3181, 95,2.3333333333333335,ELECTRO DUNAS S.A.A.,ELECTRO DUNAS S.A.A.,SIN_DATOS
,,,0,,85170,19690, 95,2.3333333333333335,CERVECERIA SAN JUAN S.A.,CERVECERIA SAN JUAN S.A.,SIN_DATOS
,,,0,,140176,24706, 95,2.3333333333333335,AMBIPAR ENVIRONMENT PERU SOCIEDAD ANONIMA CERRADA,AMBIPAR ENVIRONMENT PERU SOCIEDAD ANONIMA CERRADA,SIN_DATOS
,,,0,,102591,8517, 48,2.0,UNIVERSIDAD PRIVADA DEL NORTE SAC,UNIVERSIDAD PRIVADA DEL NORTE SAC,SIN_DATOS
,,,0,,67486,8162,O99,1.0,STATKRAFT PERU S.A.,STATKRAFT PERU S.A.,SIN_DATOS
,,,0,,89419,20283, 95,2.3333333333333335,PLUZ ENERGÍA PERÚ S.A.A.,PLUZ ENERGÍA PERÚ S.A.A.,SIN_DATOS
,,,0,,143212,22424,476,2.3333333333333335,COMPAÑIA MINERA SANTA LUISA S.A.,COMPAÑIA MINERA SANTA LUISA S.A.,SIN_DATOS
7006,23408,390,1,REPSOL COMERCIAL SAC,7006,23408,390,0.6666666666666666,REPSOL COMERCIAL SAC,REPSOL COMERCIAL SAC,SOBRECARGA
,,,0,,134341,15689, 95,2.3333333333333335,TRANSBER S.A.C.,TRANSBER S.A.C.,SIN_DATOS
,,,0,,70588,13234, 95,4.666666666666667,REAL PLAZA S.R.L.,REAL PLAZA S.R.L.,SIN_DATOS
62544,21913,156,1,FARMINDUSTRIA S.A.,62544,21913,156,1.0,FARMINDUSTRIA S.A.,FARMINDUSTRIA S.A.,EXACTO
